date,symbol,root,settle
2015-01-27,ZC.V.0,ZC,381.0
2015-01-27,ZL.V.0,ZL,31.21
2015-01-27,ZM.V.0,ZM,336.7
2015-01-27,ZR.V.0,ZR,10.95
2015-01-27,ZS.V.0,ZS,974.75
2015-01-28,CL.V.0,CL,44.46
2015-01-28,GC.V.0,GC,1284.5
2015-01-28,GF.V.0,GF,203.4
2015-01-28,HE.V.0,HE,74.6
2015-01-28,HG.V.0,HG,2.4605
2015-01-28,LE.V.0,LE,151.075
2015-01-28,PL.V.0,PL,1256.3
2015-01-28,RB.V.0,RB,1.3839
2015-01-28,SI.V.0,SI,17.99
2015-01-28,ZC.V.0,ZC,374.25
2015-01-28,ZL.V.0,ZL,30.34
2015-01-28,ZM.V.0,ZM,337.2
2015-01-28,ZR.V.0,ZR,10.725
2015-01-28,ZS.V.0,ZS,970.0
2015-01-29,CL.V.0,CL,44.6
2015-01-29,GC.V.0,GC,1260.2
2015-01-29,GF.V.0,GF,203.525
2015-01-29,HE.V.0,HE,73.225
2015-01-29,HG.V.0,HG,2.4555
2015-01-29,LE.V.0,LE,150.675
2015-01-29,PL.V.0,PL,1227.4
2015-01-29,RB.V.0,RB,1.3943
2015-01-29,SI.V.0,SI,16.995
2015-01-29,ZC.V.0,ZC,373.0
2015-01-29,ZL.V.0,ZL,29.57
2015-01-29,ZM.V.0,ZM,337.9
2015-01-29,ZR.V.0,ZR,10.86
2015-01-29,ZS.V.0,ZS,968.25
2015-01-30,CL.V.0,CL,47.85
2015-01-30,GC.V.0,GC,1283.0
2015-01-30,GF.V.0,GF,205.35
2015-01-30,HE.V.0,HE,72.325
2015-01-30,HG.V.0,HG,2.4985
2015-01-30,LE.V.0,LE,152.1
2015-01-30,PL.V.0,PL,1240.7
2015-01-30,RB.V.0,RB,1.4659
2015-01-30,SI.V.0,SI,17.255
2015-01-30,ZC.V.0,ZC,370.75
2015-01-30,ZL.V.0,ZL,30.01
2015-01-30,ZM.V.0,ZM,330.7
2015-01-30,ZR.V.0,ZR,10.6
2015-01-30,ZS.V.0,ZS,961.25
2015-02-01,CL.V.0,CL,47.33
2015-02-01,GC.V.0,GC,1281.3
2015-02-01,HG.V.0,HG,2.4715
2015-02-01,PL.V.0,PL,1237.6
2015-02-01,RB.V.0,RB,1.465
2015-02-01,SI.V.0,SI,17.175
2015-02-02,CL.V.0,CL,50.37
2015-02-02,GC.V.0,GC,1275.1
2015-02-02,GF.V.0,GF,200.825
2015-02-02,HE.V.0,HE,71.05
2015-02-02,HG.V.0,HG,2.508
2015-02-02,LE.V.0,LE,149.725
2015-02-02,PL.V.0,PL,1230.4
2015-02-02,RB.V.0,RB,1.5648
2015-02-02,SI.V.0,SI,17.21
2015-02-02,ZC.V.0,ZC,370.0
2015-02-02,ZL.V.0,ZL,30.34
2015-02-02,ZM.V.0,ZM,327.6
2015-02-02,ZR.V.0,ZR,10.275
2015-02-02,ZS.V.0,ZS,959.75
2015-02-03,CL.V.0,CL,51.86
2015-02-03,GC.V.0,GC,1261.7
